claim_id,claim_type,axis_a,axis_b,axis_c,axis_d,match_score,polarity_conflict,locus,section,paragraph_id,matched_text,provider,reason,over_assertion,claim_strength,source_strength,measured_on,note,declared_pmcid,declared_doi,attribution_confidence,registry_sha256
M01,mechanism,source_retrieved,fulltext_available,exact,grounded,1.0,False,abstract,Abstract,abstract#p1,"the spindle assembly checkpoint (sac) assembles the mitotic checkpoint complex (mcc) to inhibit the anaphase-promoting complex/cyclosome, thereby delaying entry into anaphase",europepmc,span anchored (exact) in retrieved text,calibrated,0.0,0.0,matched_span,claim no evidential verb (None); span no evidential verb,PMC9605988,,believed,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
M02,mechanism,source_retrieved,fulltext_available,exact,grounded,1.0,False,abstract,Abstract,abstract#p1,the mcc comprises mad2:cdc20:bubr1:bub3,europepmc,span anchored (exact) in retrieved text,calibrated,0.0,0.0,matched_span,claim no evidential verb (None); span no evidential verb,PMC9605988,,believed,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
M03,mechanism,source_retrieved,fulltext_available,exact,grounded,1.0,False,fulltext,Background,Background#p3,"these roles are distinguishable from each other, and specific mutations may affect one of these functions of bubr1 while leaving the other fully intact",europepmc,span anchored (exact) in retrieved text,calibrated,0.0,1.0,matched_span,claim no evidential verb (None); span hedged ('may'),PMC8066494,,believed,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
M04,mechanism,source_retrieved,fulltext_available,normalised_exact,grounded,1.0,False,fulltext,Introduction,Introduction#p2,bubr1 contributes to the formation of stable kinetochore-microtubule attachments and checkpoint silencing through kinetochore co-recruitment of protein phosphatase 2a (pp2a),europepmc,span anchored (normalised_exact) in retrieved text,calibrated,0.0,0.0,matched_span,claim no evidential verb (None); span no evidential verb,PMC4337726,10.7554/eLife.05269,believed,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
M05,mechanism,source_retrieved,fulltext_available,exact,grounded,1.0,False,abstract,Abstract,abstract#p1,"in patients with biallelic mutations, a missense mutation pairs with a truncating mutation",ncbi_pmc,span anchored (exact) in retrieved text,calibrated,0.0,0.0,matched_span,claim no evidential verb (None); span no evidential verb,PMC2887387,,believed,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
M06,mechanism,source_retrieved,fulltext_available,exact,grounded,1.0,False,abstract,Abstract,abstract#p1,"cell lines derived from mva patients with biallelic mutations have an impaired mitotic checkpoint, chromosome alignment defects, and low overall bubr1 abundance",ncbi_pmc,span anchored (exact) in retrieved text,calibrated,0.0,0.0,matched_span,claim no evidential verb (None); span no evidential verb,PMC2887387,,believed,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
M07,mechanism,source_retrieved,fulltext_available,exact,grounded,1.0,False,abstract,Abstract,abstract#p1,"ectopic expression of bubr1 restored mitotic checkpoint activity, proving that bubr1 dysfunction causes chromosome segregation errors in the patients",ncbi_pmc,span anchored (exact) in retrieved text,calibrated,3.0,3.0,matched_span,claim causal ('causes'); span causal ('proving'),PMC2887387,,believed,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
C01,clinical,source_retrieved,fulltext_available,exact,grounded,1.0,False,fulltext,Introduction,Introduction#p2,"when pcs is detected in more than 50% of cells, it is accompanied by mosaic variegated aneuploidy",europepmc,span anchored (exact) in retrieved text,calibrated,0.0,0.0,matched_span,claim no evidential verb (None); span no evidential verb,PMC11102876,,believed,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
C02,clinical,source_retrieved,fulltext_available,exact,grounded,1.0,False,fulltext,Background,Background#p2,"the most frequent malignancies associated with mva syndrome are embryonal rhabdomyosarcoma, wilms tumor, and acute lymphoid leukemia (all), all of which have been reported to manifest in early childho",europepmc,span anchored (exact) in retrieved text,calibrated,0.0,1.0,matched_span,claim no evidential verb (None); span hedged ('associated with'),PMC6500003,,believed,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
T01,therapeutic,source_retrieved,fulltext_available,exact,grounded,1.0,False,abstract,Abstract,abstract#p1,"bub1b variants lead to decreased bubr1 expression and/or stability, which promotes increased premature chromatid separation and, consequently, triggers cin, driving resistance to taxol-based therapies",europepmc,span anchored (exact) in retrieved text,calibrated,0.0,2.0,matched_span,claim no evidential verb (None); span evidential ('lead to'),PMC11251299,10.1186/s12929-024-01056-z,verified_in_v0,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
X01,therapeutic,no_source_declared,no_text,no_span_declared,no_evidence_offered,,False,,,,,,no span declared; nothing submitted to verify,not_evaluable,,,,axis D = no_evidence_offered; no matched span to compare,,,none,ae4675df3fd11bc1e27989ffb79f0d472dc7f7358babb5a99eeddd43281dd433
